Date,Open,High,Low,Close,Adj_Close,Volume
5-Aug-24,185.22,203.88,182,198.88,198.88,"100,308,800"
2-Aug-24,214.88,216.13,205.78,207.67,207.67,"82,880,100"
1-Aug-24,227.69,231.87,214.33,216.86,216.86,"83,861,900"
31-Jul-24,227.9,234.68,226.79,232.07,232.07,"67,497,000"
30-Jul-24,232.25,232.41,220,222.62,222.62,"100,560,300"
29-Jul-24,224.9,234.27,224.7,232.1,232.1,"129,201,800"
26-Jul-24,221.19,222.28,215.33,219.8,219.8,"94,604,100"
25-Jul-24,216.8,226,216.23,220.25,220.25,"100,636,500"
24-Jul-24,225.42,225.99,214.71,215.99,215.99,"167,942,900"
23-Jul-24,253.6,255.76,245.63,246.38,246.38,"111,928,200"
22-Jul-24,244.21,253.21,243.75,251.51,251.51,"101,225,400"
19-Jul-24,247.79,249.44,236.83,239.2,239.2,"87,403,900"
18-Jul-24,251.09,257.14,247.2,249.23,249.23,"110,869,000"
17-Jul-24,252.73,258.47,246.18,248.5,248.5,"115,584,800"
16-Jul-24,255.31,258.62,245.8,256.56,256.56,"126,332,500"
15-Jul-24,255.97,265.6,251.73,252.64,252.64,"146,912,900"
12-Jul-24,235.8,251.84,233.09,248.23,248.23,"155,955,800"
11-Jul-24,263.3,271,239.65,241.03,241.03,"221,707,300"
10-Jul-24,262.8,267.59,257.86,263.26,263.26,"128,519,400"
9-Jul-24,251,265.61,250.3,262.33,262.33,"160,210,900"
8-Jul-24,247.71,259.44,244.57,252.94,252.94,"157,219,600"
5-Jul-24,249.81,252.37,242.46,251.52,251.52,"154,501,200"
3-Jul-24,234.56,248.35,234.25,246.39,246.39,"166,561,500"
2-Jul-24,218.89,231.3,218.06,231.26,231.26,"205,047,900"
1-Jul-24,201.02,213.23,200.85,209.86,209.86,"135,691,400"
28-Jun-24,199.55,203.2,195.26,197.88,197.88,"95,438,100"
27-Jun-24,195.17,198.72,194.05,197.42,197.42,"72,746,500"
26-Jun-24,186.54,197.76,186.36,196.37,196.37,"95,737,100"
25-Jun-24,184.4,187.97,182.01,187.35,187.35,"63,678,300"
24-Jun-24,184.97,188.8,182.55,182.58,182.58,"61,992,100"
21-Jun-24,182.3,183.95,180.69,183.01,183.01,"63,029,500"
20-Jun-24,184.68,185.21,179.66,181.57,181.57,"55,893,100"
18-Jun-24,186.56,187.2,182.37,184.86,184.86,"68,982,300"
17-Jun-24,177.92,188.81,177,187.44,187.44,"109,786,100"
14-Jun-24,185.8,186,176.92,178.01,178.01,"82,038,200"
13-Jun-24,188.39,191.08,181.23,182.47,182.47,"118,984,100"
12-Jun-24,171.12,180.55,169.8,177.29,177.29,"90,389,400"
11-Jun-24,173.92,174.75,167.41,170.66,170.66,"64,761,900"
10-Jun-24,176.06,178.57,173.17,173.79,173.79,"50,869,700"
7-Jun-24,176.13,179.35,175.58,177.48,177.48,"56,244,900"
6-Jun-24,174.6,179.73,172.73,177.94,177.94,"69,887,000"
5-Jun-24,175.35,176.15,172.13,175,175,"57,953,800"
4-Jun-24,174.78,177.76,174,174.77,174.77,"60,056,300"
3-Jun-24,178.13,182.64,174.49,176.29,176.29,"68,568,900"
31-May-24,178.5,180.32,173.82,178.08,178.08,"67,314,600"
30-May-24,178.58,182.67,175.38,178.79,178.79,"77,784,800"
29-May-24,174.19,178.15,173.93,176.19,176.19,"54,782,600"
28-May-24,176.4,178.25,173.16,176.75,176.75,"59,736,600"
24-May-24,174.84,180.08,173.73,179.24,179.24,"65,479,700"
23-May-24,181.8,181.9,173.26,173.74,173.74,"71,975,500"
22-May-24,182.85,183.8,178.12,180.11,180.11,"88,313,500"
21-May-24,175.51,186.88,174.71,186.6,186.6,"115,266,500"
20-May-24,177.56,177.75,173.52,174.95,174.95,"61,727,400"
17-May-24,173.55,179.63,172.75,177.46,177.46,"77,445,800"
16-May-24,174.1,175.79,171.43,174.84,174.84,"59,812,200"
15-May-24,179.9,180,173.11,173.99,173.99,"79,663,000"
14-May-24,174.5,179.49,174.07,177.55,177.55,"86,407,400"
13-May-24,170,175.4,169,171.89,171.89,"67,018,900"
10-May-24,173.05,173.06,167.75,168.47,168.47,"72,627,200"
9-May-24,175.01,175.62,171.37,171.97,171.97,"65,950,300"
8-May-24,171.59,176.06,170.15,174.72,174.72,"79,969,500"
7-May-24,182.4,183.26,177.4,177.81,177.81,"75,045,900"
6-May-24,183.8,187.56,182.2,184.76,184.76,"84,390,300"
3-May-24,182.1,184.78,178.42,181.19,181.19,"75,491,500"
2-May-24,182.86,184.6,176.02,180.01,180.01,"89,148,000"
1-May-24,182,185.86,179.01,179.99,179.99,"92,829,700"
30-Apr-24,186.98,190.95,182.84,183.28,183.28,"127,031,800"
29-Apr-24,188.42,198.87,184.54,194.05,194.05,"243,869,700"
26-Apr-24,168.85,172.12,166.37,168.29,168.29,"109,815,700"
